route_name,ic_name,ic_km,ramp_name,ramp_km
서산영덕선,청주JCT,0.0,,
서산영덕선,문의청남대IC,8.1,,
서산영덕선,회인IC,18.8,,
서산영덕선,보은IC,29.6,,
서산영덕선,속리산IC,35.6,,
서산영덕선,화서IC,51.8,,
서산영덕선,남상주IC,70.8,,
서산영덕선,낙동JCT,79.4,,
중부내륙선(상주),낙동JCT,139.2,,
중부내륙선(상주),선산IC,123.5,,
중부내륙선(상주),상주IC,146.4,,
중부내륙선(상주),북상주IC,159.4,,
중부내륙선(상주),점촌함창IC,166.9,,
중부내륙선(상주),문경새재IC,180.9,,
중부내륙선(상주),연풍IC,194.7,,
중부내륙선(충주),연풍IC,194.72,,
중부내륙선(충주),괴산IC,209.1,,
중부내륙선(충주),충주IC,224.6,,
중부내륙선(충주),노은JCT,233.5,,
중부내륙선(충주),북충주IC,233.8,,
중부내륙선(충주),충주JCT,239.0,,
중부내륙선(충주),감곡IC,251.1,,
중부내륙선(충주),여주JCT,265.13,,
평택제천선,남안성IC,35.9,,
평택제천선,남안성JCT,42.4,,
평택제천선,북진천IC,55.8,,
평택제천선,대소JCT,57.9,,
평택제천선,금왕꽃동네IC,65.1,,
평택제천선,음성IC,72.4,,
평택제천선,서충주IC,77.8,,
평택제천선,충주JCT,85.5,,
평택제천선,노은JCT,90.9,,
평택제천선,동충주IC,103.2,,
평택제천선,제천JCT,126.9,,
중앙선,남원주IC,313.48,,
중앙선,신림IC,294.0,,
중앙선,제천IC,281.5,,
중앙선,제천JCT,274.3,,
중앙선,남제천IC,273.6,,
중앙선,북단양IC,261.2,,
중앙선,단양IC,246.9,,
