route_name,route_start_km,route_end_km,start_km,end_km,method,direction,lane,work_date,year,timestamp,row_type,route_dir1,route_dir2
서산영덕선,0.0,79.42,0.0,0.0,,,,,,,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,3.58,4.76,비절삭 덧씌우기,서산방향,1차로,20220000,2022,2025-11-10 17:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,3.58,4.76,비절삭 덧씌우기,서산방향,2차로,20220000,2022,2025-11-10 17:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,3.58,4.76,절삭 덧씌우기,서산방향,3차로,20220000,2022,2025-11-10 17:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,11.82,12.03,절삭 덧씌우기,서산방향,1차로,20220000,2022,2025-11-10 17:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,11.82,12.03,절삭 덧씌우기,서산방향,2차로,20220000,2022,2025-11-10 17:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,18.48,18.88,기능성 중간층,서산방향,2차로,20220000,2022,2025-11-10 17:38,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,23.45,24.12,기능성 중간층,서산방향,1차로,20220000,2022,2025-11-10 17:38,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,23.45,24.12,기능성 중간층,서산방향,2차로,20220000,2022,2025-11-10 17:38,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,3.323,3.563,비절삭 덧씌우기,영덕방향,1차로,20220000,2022,2025-11-10 17:38,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,3.323,3.563,비절삭 덧씌우기,영덕방향,2차로,20220000,2022,2025-11-10 17:38,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,3.323,3.563,절삭 덧씌우기,영덕방향,3차로,20220000,2022,2025-11-10 17:38,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,4.826,5.026,절삭 덧씌우기,영덕방향,1차로,20220000,2022,2025-11-10 17:39,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,4.826,5.026,절삭 덧씌우기,영덕방향,2차로,20220000,2022,2025-11-10 17:39,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,5.07,6.22,비절삭 덧씌우기,영덕방향,1차로,20220000,2022,2025-11-10 17:39,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,5.07,6.22,비절삭 덧씌우기,영덕방향,2차로,20220000,2022,2025-11-10 17:39,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,5.07,6.22,비절삭 덧씌우기,영덕방향,3차로,20220000,2022,2025-11-10 17:39,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,26.22,26.82,표면개량,영덕방향,1차로,20220000,2022,2025-11-10 17:39,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,26.22,26.82,표면개량,영덕방향,2차로,20220000,2022,2025-11-10 17:40,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,26.22,26.82,표면개량,서산방향,2차로,20220000,2022,2025-11-10 17:40,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,26.22,26.82,표면개량,서산방향,1차로,20220000,2022,2025-11-10 17:40,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,30.1,30.39,표면개량,서산방향,1차로,20220000,2022,2025-11-10 17:40,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,30.1,30.39,표면개량,서산방향,2차로,20220000,2022,2025-11-10 17:40,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,30.1,30.39,표면개량,영덕방향,2차로,20220000,2022,2025-11-10 17:40,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,30.1,30.39,표면개량,영덕방향,1차로,20220000,2022,2025-11-10 17:40,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,30.54,30.85,표면개량,영덕방향,1차로,20220000,2022,2025-11-10 17:40,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,30.54,30.85,표면개량,영덕방향,2차로,20220000,2022,2025-11-10 17:40,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,30.54,30.85,표면개량,서산방향,2차로,20220000,2022,2025-11-10 17:41,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,30.54,30.85,표면개량,서산방향,1차로,20220000,2022,2025-11-10 17:41,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,33.0,33.3,NGCS,서산방향,1차로,20220000,2022,2025-11-10 17:41,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,33.0,33.3,NGCS,서산방향,2차로,20220000,2022,2025-11-10 17:41,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,33.0,33.3,NGCS,영덕방향,2차로,20220000,2022,2025-11-10 17:41,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,33.0,33.3,NGCS,영덕방향,1차로,20220000,2022,2025-11-10 17:41,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,51.885,52.215,표면개량,서산방향,1차로,20220000,2022,2025-11-10 17:41,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,51.885,52.215,표면개량,서산방향,2차로,20220000,2022,2025-11-10 17:41,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,51.862,52.653,표면개량,영덕방향,2차로,20220000,2022,2025-11-10 17:41,entry,서산방향,영덕방향
