route,direction,lane,start,end,method,pavement,note,orig_start,orig_end
중부내륙선(상주),양평방향,1차로,151.01,153.87,절삭 덧씌우기(10cm),콘크리트JCP,사업계획,151.01,153.87
서산영덕선,서산방향,1차로,0.4,0.8,절삭 덧씌우기(10cm),콘크리트JCP,사업계획,0.4,0.8
중앙선,춘천방향,1차로,306.02,307.19,절삭 덧씌우기(10cm),콘크리트JCP,사업계획,306.02,307.19
중부내륙선(상주),양평방향,2차로,151.01,152.937,절삭 덧씌우기(10cm),콘크리트JCP,사업계획,151.01,152.937
중앙선,춘천방향,2차로,273.662,274.2,절삭 덧씌우기(10cm),콘크리트JCP,사업계획,273.662,274.2
중앙선,춘천방향,1차로,273.662,274.2,절삭 덧씌우기(10cm),콘크리트JCP,사업계획,273.662,274.2
중앙선,부산방향,1차로,280.12,280.61,절삭 덧씌우기(10cm),콘크리트JCP,사업계획,280.12,280.61
중앙선,부산방향,1차로,287.32,288.33,절삭 덧씌우기(10cm),콘크리트JCP,운영계획 변경,,
중부내륙선(상주),양평방향,1차로,179.6,180.195,절삭 덧씌우기(10cm),콘크리트JCP,운영계획 변경,,
중앙선,춘천방향,2차로,264.85,265.41,절삭 덧씌우기(10cm),콘크리트JCP,운영계획 변경,,
서산영덕선,영덕방향,2차로,67.505,68.22,절삭 덧씌우기(10cm),콘크리트JCP,운영계획 변경,,
서산영덕선,영덕방향,2차로,67.505,68.22,절삭 덧씌우기(10cm),콘크리트JCP,운영계획 변경,,
서산영덕선,영덕방향,2차로,70.6,71.0,절삭 덧씌우기(10cm),콘크리트JCP,운영계획 변경,,
서산영덕선,영덕방향,2차로,71.151,71.55,절삭 덧씌우기(10cm),콘크리트JCP,운영계획 변경,,
중부내륙선(상주),양평방향,3차로,126.0,126.6,절삭 덧씌우기,,사업계획,126.0,126.6
