route_name,name,type,direction,start_km,length_m
서산영덕선,척산2교,교량,영덕,0.8,90.0
서산영덕선,척산2교,교량,서산,0.8,90.0
서산영덕선,척산3교,교량,영덕,1.63,95.0
서산영덕선,척산3교,교량,서산,1.63,95.0
서산영덕선,척산4교,교량,영덕,2.81,40.0
서산영덕선,척산4교,교량,서산,2.81,40.0
서산영덕선,남계3교,교량,영덕,7.66,45.0
서산영덕선,남계3교,교량,서산,7.66,45.0
서산영덕선,삼항1교,교량,영덕,9.1,90.0
서산영덕선,삼항1교,교량,서산,9.1,90.0
서산영덕선,문의교,교량,영덕,10.68,530.0
서산영덕선,문의교,교량,서산,10.68,530.0
서산영덕선,노현교,교량,영덕,11.46,332.42
서산영덕선,노현교,교량,서산,11.46,332.42
서산영덕선,용촌교,교량,영덕,16.06,240.0
서산영덕선,용촌교,교량,서산,16.08,240.0
서산영덕선,회인교,교량,서산,16.76,520.0
서산영덕선,회인교,교량,영덕,16.78,519.0
서산영덕선,부수1교,교량,영덕,17.51,300.0
서산영덕선,부수1교,교량,서산,17.51,300.0
서산영덕선,부수2교,교량,영덕,18.01,450.0
서산영덕선,부수2교,교량,서산,18.01,450.0
서산영덕선,회인대교,교량,영덕,19.9,940.0
서산영덕선,회인대교,교량,서산,19.9,940.0
서산영덕선,건천교,교량,영덕,20.99,290.0
서산영덕선,건천교,교량,서산,20.99,290.0
서산영덕선,수리티교,교량,서산,21.54,400.0
서산영덕선,수리티교,교량,영덕,21.57,350.0
서산영덕선,차정교,교량,영덕,23.07,331.62
서산영덕선,차정교,교량,서산,23.09,300.0
서산영덕선,동정교,교량,영덕,24.09,300.35
서산영덕선,동정교,교량,서산,24.1,300.35
서산영덕선,보청교,교량,영덕,24.91,290.4
서산영덕선,보청교,교량,서산,24.91,290.4
서산영덕선,교암1교,교량,영덕,25.62,241.38
서산영덕선,교암1교,교량,서산,25.64,240.4
서산영덕선,교암2교,교량,영덕,25.96,240.0
서산영덕선,교암2교,교량,서산,25.96,240.0
서산영덕선,성리교,교량,영덕,27.15,270.0
서산영덕선,성리교,교량,서산,27.15,270.0
서산영덕선,소계교,교량,영덕,27.63,290.4
서산영덕선,소계교,교량,서산,27.63,290.4
서산영덕선,금굴교,교량,영덕,30.41,90.0
서산영덕선,금굴교,교량,서산,30.41,90.0
서산영덕선,보청천교,교량,영덕,30.85,780.0
서산영덕선,보청천교,교량,서산,30.85,780.0
서산영덕선,상장1교,교량,영덕,36.39,36.0
서산영덕선,상장1교,교량,서산,36.39,36.0
서산영덕선,상장2교,교량,영덕,36.56,35.0
서산영덕선,상장2교,교량,서산,36.56,35.0
서산영덕선,삼가천교,교량,영덕,36.78,175.0
서산영덕선,삼가천교,교량,서산,36.78,175.0
서산영덕선,봉비교,교량,영덕,37.16,70.0
서산영덕선,봉비교,교량,서산,37.16,70.0
서산영덕선,불목1교,교량,영덕,38.22,70.0
서산영덕선,불목1교,교량,서산,38.22,70.0
서산영덕선,수문교,교량,영덕,39.47,35.61
서산영덕선,수문교,교량,서산,39.47,35.61
서산영덕선,갈평교,교량,영덕,40.66,120.15
서산영덕선,갈평교,교량,서산,40.66,120.15
서산영덕선,구병산교,교량,영덕,42.88,159.94
서산영덕선,구병산교,교량,서산,42.88,159.94
서산영덕선,평온교,교량,서산,45.71,310.0
서산영덕선,평온교,교량,영덕,45.73,255.0
서산영덕선,상룡교,교량,영덕,47.01,140.2
서산영덕선,상룡교,교량,서산,47.01,140.2
서산영덕선,금산교,교량,영덕,47.69,105.1
서산영덕선,금산교,교량,서산,47.69,105.1
서산영덕선,달천2교,교량,영덕,49.71,35.32
서산영덕선,달천2교,교량,서산,49.71,35.32
서산영덕선,달천3교,교량,영덕,50.13,105.56
서산영덕선,달천3교,교량,서산,50.13,105.56
서산영덕선,지산1교,교량,영덕,50.82,35.0
서산영덕선,지산1교,교량,서산,50.82,35.0
서산영덕선,화서교,교량,영덕,52.93,630.75
서산영덕선,화서교,교량,서산,52.93,630.75
서산영덕선,상곡교,교량,영덕,53.81,210.3
서산영덕선,상곡교,교량,서산,53.81,210.3
서산영덕선,서원1교,교량,영덕,55.1,440.8
서산영덕선,서원1교,교량,서산,55.1,440.8
서산영덕선,서원2교,교량,영덕,55.81,395.65
서산영덕선,서원2교,교량,서산,55.81,395.65
서산영덕선,서원3교,교량,영덕,56.51,175.25
서산영덕선,서원3교,교량,서산,56.51,175.25
서산영덕선,서원4교,교량,영덕,57.45,45.09
서산영덕선,서원4교,교량,서산,57.45,45.09
서산영덕선,고곡2교,교량,영덕,59.9,210.0
서산영덕선,고곡2교,교량,서산,59.91,210.0
서산영덕선,내서1교,교량,영덕,61.68,514.2
서산영덕선,내서1교,교량,서산,61.68,514.2
서산영덕선,내서2교,교량,영덕,63.43,542.455
서산영덕선,내서2교,교량,서산,63.43,542.455
서산영덕선,능암교,교량,서산,64.52,270.355
서산영덕선,능암교,교량,영덕,64.54,240.31
서산영덕선,지사교,교량,영덕,68.22,30.146
서산영덕선,지사교,교량,서산,68.22,30.2
서산영덕선,가장교,교량,서산,69.49,300.0
서산영덕선,가장교,교량,영덕,69.5,300.41
서산영덕선,병성천1교,교량,영덕,70.42,180.3
서산영덕선,병성천1교,교량,서산,70.42,180.0
서산영덕선,병성천2교,교량,영덕,71.0,151.0
서산영덕선,병성천2교,교량,서산,71.0,151.0
서산영덕선,지천2교,교량,영덕,71.55,45.0
서산영덕선,지천2교,교량,서산,71.55,45.0
서산영덕선,지천3교,교량,영덕,71.76,120.0
서산영덕선,지천3교,교량,서산,71.76,120.0
서산영덕선,지천4교,교량,영덕,71.94,30.0
서산영덕선,지천4교,교량,서산,71.94,30.0
서산영덕선,운평1교,교량,영덕,77.07,47.0
서산영덕선,운평1교,교량,서산,77.07,47.0
서산영덕선,운평2교,교량,영덕,78.17,60.0
서산영덕선,운평2교,교량,서산,78.17,60.0
서산영덕선,문의1터널,터널,영덕,12.45,536.0
서산영덕선,문의1터널,터널,청주,12.52,451.0
서산영덕선,문의2터널,터널,청주,13.36,120.0
서산영덕선,문의2터널,터널,영덕,13.37,219.0
서산영덕선,피반령터널,터널,청주,13.7,2014.0
서산영덕선,피반령터널,터널,영덕,13.75,1951.0
서산영덕선,회인터널,터널,청주,21.29,215.0
서산영덕선,회인터널,터널,영덕,21.33,228.0
서산영덕선,수리티터널,터널,영덕,22.01,903.0
서산영덕선,수리티터널,터널,청주,22.02,825.0
서산영덕선,수한터널,터널,영덕,26.43,214.0
서산영덕선,수한터널,터널,청주,26.43,214.0
서산영덕선,탄부터널,터널,영덕,31.8,220.0
서산영덕선,탄부터널,터널,청주,31.8,220.0
서산영덕선,화서1터널,터널,영덕,52.65,225.0
서산영덕선,화서1터널,터널,청주,52.65,225.0
서산영덕선,화서2터널,터널,영덕,54.09,128.0
서산영덕선,화서2터널,터널,청주,54.09,128.0
서산영덕선,내서1터널,터널,영덕,59.23,132.0
서산영덕선,내서1터널,터널,청주,59.23,132.0
서산영덕선,내서2터널,터널,청주,60.52,418.0
서산영덕선,내서2터널,터널,영덕,60.53,470.0
서산영덕선,내서3터널,터널,영덕,65.23,500.0
서산영덕선,내서3터널,터널,청주,65.23,520.0
서산영덕선,내서4터널,터널,청주,66.13,1370.0
서산영덕선,내서4터널,터널,영덕,66.17,1335.0
중부내륙선(상주),봉곡3교,교량,양평,123.9695,30.5
중부내륙선(상주),봉곡3교,교량,창원,123.9695,30.5
중부내륙선(상주),봉곡천교,교량,양평,124.61,90.0
중부내륙선(상주),봉곡천교,교량,창원,124.61,90.0
중부내륙선(상주),봉곡1교,교량,양평,124.8398,160.2
중부내륙선(상주),봉곡1교,교량,창원,124.8798,160.2
중부내륙선(상주),덕촌교,교량,양평,126.9149,180.1
중부내륙선(상주),덕촌교,교량,창원,126.91499999999999,180.0
중부내륙선(상주),대원3교,교량,양평,127.19000000000001,210.0
중부내륙선(상주),대원3교,교량,창원,127.19000000000001,210.0
중부내륙선(상주),대원2교,교량,양평,128.29,210.0
중부내륙선(상주),대원2교,교량,창원,128.29,210.0
중부내륙선(상주),대원1교,교량,양평,128.91,90.0
중부내륙선(상주),대원1교,교량,창원,128.91,90.0
중부내륙선(상주),옥성대교,교량,양평,130.10940000000002,690.6
중부내륙선(상주),옥성대교,교량,창원,130.1294,690.6
중부내륙선(상주),신오교,교량,양평,133.2698,30.2
중부내륙선(상주),신오교,교량,창원,133.2698,30.2
중부내륙선(상주),유곡3교,교량,양평,137.2698,30.2
중부내륙선(상주),유곡3교,교량,창원,137.2698,30.2
중부내륙선(상주),유곡2교,교량,양평,137.68970000000002,210.3
중부내륙선(상주),유곡2교,교량,창원,137.68970000000002,210.3
중부내륙선(상주),장천교,교량,창원,140.1495,450.5
중부내륙선(상주),장천교,교량,양평,140.18789999999998,512.1
중부내륙선(상주),화산교,교량,양평,141.3397,360.3
중부내륙선(상주),화산교,교량,창원,141.3697,330.3
중부내륙선(상주),헌신2교,교량,양평,145.4499,50.1
중부내륙선(상주),헌신2교,교량,창원,145.4499,50.1
중부내륙선(상주),헌신1교,교량,양평,145.8399,60.1
중부내륙선(상주),헌신1교,교량,창원,145.8399,60.1
중부내륙선(상주),병성교,교량,양평,147.2349,65.1
중부내륙선(상주),병성교,교량,창원,147.23489500000002,65.105
중부내륙선(상주),병성천교,교량,양평,147.2595,540.5
중부내륙선(상주),병성천교,교량,창원,147.26000000000002,540.0
중부내륙선(상주),덕담3교,교량,양평,150.9599,50.1
중부내륙선(상주),덕담3교,교량,창원,150.9599,50.1
중부내륙선(상주),용담교,교량,양평,153.8698,30.2
중부내륙선(상주),용담교,교량,창원,153.8698,30.2
중부내륙선(상주),두릉2교,교량,양평,154.4698,30.2
중부내륙선(상주),두릉2교,교량,창원,154.4698,30.2
중부내륙선(상주),두릉1교,교량,양평,154.66979999999998,30.2
중부내륙선(상주),두릉1교,교량,창원,154.66979999999998,30.2
중부내륙선(상주),목가2교,교량,양평,155.6096,300.4
중부내륙선(상주),목가2교,교량,창원,155.6136,300.4
중부내륙선(상주),목가1교,교량,양평,156.1995,90.5
중부내륙선(상주),목가1교,교량,창원,156.1995,90.5
중부내륙선(상주),역곡2교,교량,양평,159.1149,75.1
중부내륙선(상주),역곡2교,교량,창원,159.1149,75.1
중부내륙선(상주),이안교,교량,양평,160.5499,50.1
중부내륙선(상주),이안교,교량,창원,160.5499,50.1
중부내륙선(상주),이안철교,교량,양평,160.7097,190.3
중부내륙선(상주),이안철교,교량,창원,160.7097,190.3
중부내륙선(상주),가장교,교량,양평,161.01,150.0
중부내륙선(상주),가장교,교량,창원,161.01270000000002,150.3
중부내륙선(상주),이안천교,교량,양평,162.05960000000002,240.4
중부내륙선(상주),이안천교,교량,창원,162.05960000000002,240.4
중부내륙선(상주),흑암1교,교량,양평,163.02960000000002,270.4
중부내륙선(상주),흑암1교,교량,창원,163.02960000000002,270.4
중부내륙선(상주),지산교,교량,양평,165.30949999999999,390.5
중부내륙선(상주),지산교,교량,창원,165.30949999999999,390.5
중부내륙선(상주),나한교,교량,양평,167.4215,270.5
중부내륙선(상주),나한교,교량,창원,167.4215,270.5
중부내륙선(상주),유곡교,교량,양평,171.7346,365.4
중부내륙선(상주),유곡교,교량,창원,171.84459999999999,355.4
중부내륙선(상주),불정3교,교량,양평,172.494,706.0
중부내륙선(상주),불정3교,교량,창원,172.51,690.0
중부내륙선(상주),불정1교,교량,양평,174.3191,180.9
중부내륙선(상주),불정1교,교량,창원,174.3191,180.9
중부내륙선(상주),영강교,교량,양평,175.49460000000002,305.4
중부내륙선(상주),영강교,교량,창원,175.5096,290.4
중부내륙선(상주),마성교,교량,양평,176.9146,585.4
중부내륙선(상주),마성교,교량,창원,176.8946,605.4
중부내륙선(상주),모곡2교,교량,양평,178.9996,600.4
중부내륙선(상주),모곡2교,교량,창원,178.9896,610.4
중부내륙선(상주),마원2교,교량,양평,183.40980000000002,490.2
중부내륙선(상주),마원2교,교량,창원,183.4092,490.8
중부내륙선(상주),마원1교,교량,양평,184.02970000000002,270.3
중부내륙선(상주),마원1교,교량,창원,184.05970000000002,240.3
중부내륙선(상주),문경대교,교량,양평,186.67,930.0
중부내륙선(상주),문경대교,교량,창원,186.67,930.0
중부내륙선(상주),각서교,교량,양평,188.3498,250.2
중부내륙선(상주),각서교,교량,창원,188.3498,250.2
중부내륙선(상주),주진2교,교량,양평,191.7765,360.5
중부내륙선(상주),주진2교,교량,창원,191.64929999999998,510.7
중부내륙선(상주),주진1교,교량,양평,193.73270000000002,180.3
중부내륙선(상주),주진1교,교량,창원,193.74370000000002,180.3
중부내륙선(상주),삼풍교,교량,양평,194.2996,300.4
중부내륙선(상주),삼풍교,교량,창원,194.2996,300.4
중부내륙선(상주),상주터널,터널,창원,131.27700000000002,1612.0
중부내륙선(상주),상주터널,터널,양평,131.239,1685.0
중부내륙선(상주),낙동터널,터널,양평,142.049,370.0
중부내륙선(상주),낙동터널,터널,창원,142.069,400.0
중부내륙선(상주),공검터널,터널,양평,156.594,406.0
중부내륙선(상주),공검터널,터널,창원,156.594,406.0
중부내륙선(상주),불정터널,터널,양평,173.63600000000002,194.0
중부내륙선(상주),불정터널,터널,창원,173.63600000000002,194.0
중부내륙선(상주),진남터널,터널,양평,175.692,968.0
중부내륙선(상주),진남터널,터널,창원,175.708,992.0
중부내륙선(상주),문경2터널,터널,양평,184.363,1187.0
중부내륙선(상주),문경2터널,터널,창원,184.36399999999998,1205.0
중부내륙선(상주),문경1터널,터널,양평,185.77499999999998,115.0
중부내륙선(상주),문경1터널,터널,창원,185.749,180.0
중부내륙선(상주),문경새재터널,터널,창원,188.92399999999998,2645.0
중부내륙선(상주),문경새재터널,터널,양평,188.965,2635.0
중부내륙선(충주),적석교,교량,창원,195.572,40.5
중부내륙선(충주),적석교,교량,양평,195.584,40.5
중부내륙선(충주),행촌교,교량,창원,195.807,400.3
중부내륙선(충주),행촌교,교량,양평,195.81,398.0
중부내륙선(충주),연풍교,교량,양평,197.52,600.0
중부내륙선(충주),연풍교,교량,창원,197.538,572.5
중부내륙선(충주),유상교,교량,창원,198.392,150.0
중부내륙선(충주),유상교,교량,양평,198.437,180.0
중부내륙선(충주),오가1교,교량,창원,204.09,449.28
중부내륙선(충주),오가1교,교량,양평,204.105,450.0
중부내륙선(충주),추점2교,교량,창원,204.831,120.0
중부내륙선(충주),추점2교,교량,양평,204.863,120.0
중부내륙선(충주),추점1교,교량,창원,206.435,60.0
중부내륙선(충주),추점1교,교량,양평,206.444,60.0
중부내륙선(충주),방곡2교,교량,양평,207.285,220.0
중부내륙선(충주),방곡2교,교량,창원,207.29,220.0
중부내륙선(충주),방곡1교,교량,양평,208.056,220.0
중부내륙선(충주),방곡1교,교량,창원,208.056,220.0
중부내륙선(충주),문주4교,교량,양평,211.464,360.0
중부내륙선(충주),문주4교,교량,창원,211.504,360.0
중부내륙선(충주),남달천교,교량,양평,212.85,449.46
중부내륙선(충주),남달천교,교량,창원,212.871,450.0
중부내륙선(충주),문주3교,교량,양평,213.577,900.0
중부내륙선(충주),문주3교,교량,창원,213.595,900.0
중부내륙선(충주),문주2교,교량,양평,214.783,300.0
중부내륙선(충주),문주2교,교량,창원,214.81,360.0
